,label,text,regex,removed_stopwords,snowball,potter,snowball_nostop,lemmatized,regex_lemm_nostop,reg_nostop_snowball
638,1,I used bitpim (a free program you can find on the internet)to transfer data to the phone.The price of the cable was excellent.,i used bitpim a free program you can find on the internetto transfer data to the phonethe price of the cable was excellent,used bitpim free program find internetto transfer data phonethe price cable excellent,i use bitpim a free program you can find on the internetto transfer data to the phoneth price of the cabl was excel,use bitpim free program find internetto transfer data phoneth price cabl excel,use bitpim free program find internetto transfer data phoneth price cabl excel,i used bitpim a free program you can find on the internetto transfer data to the phonethe price of the cable wa excellent,used bitpim free program find internetto transfer data phonethe price cable wa excellent,use bitpim free program find internetto transfer data phoneth price cabl excel
639,0,Disappointing accessory from a good manufacturer.,disappointing accessory from a good manufacturer,disappointing accessory good manufacturer,disappoint accessori from a good manufactur,disappoint accessori good manufactur,disappoint accessori good manufactur,disappointing accessory from a good manufacturer,disappointing accessory good manufacturer,disappoint accessori good manufactur
640,0,"Performed awful -- muffled, tinny incoming sound and severe echo for those on the other end of the call.",performed awful    muffled tinny incoming sound and severe echo for those on the other end of the call,performed awful muffled tinny incoming sound severe echo end call,perform aw muffl tinni incom sound and sever echo for those on the other end of the call,perform aw muffl tinni incom sound sever echo end call,perform aw muffl tinni incom sound sever echo end call,performed awful muffled tinny incoming sound and severe echo for those on the other end of the call,performed awful muffled tinny incoming sound severe echo end call,perform aw muffl tinni incom sound sever echo end call
641,1,Very wind-resistant.,very wind resistant,wind resistant,veri wind resist,wind resist,veri wind resist,very wind resistant,wind resistant,wind resist
642,0,"Obviously they have a terrible customer service, so you get what you pay for.",obviously they have a terrible customer service so you get what you pay for,obviously terrible customer service get pay,obvious they have a terribl custom servic so you get what you pay for,obvious terribl custom servic get pay,obvious terribl custom servic get pay,obviously they have a terrible customer service so you get what you pay for,obviously terrible customer service get pay,obvious terribl custom servic get pay
643,1,"They do not last forever, but is not overly expensive to replace.Easy to operate and the sound is much better than others I have tried.",they do not last forever but is not overly expensive to replaceeasy to operate and the sound is much better than others i have tried,do not last forever but not overly expensive replaceeasy operate sound much better others tried,they do not last forev but is not over expens to replaceeasi to oper and the sound is much better than other i have tri,do not last forev but not overli expens replaceeasi oper sound much better other tri,last forev expens replaceeasi oper sound much better tri,they do not last forever but is not overly expensive to replaceeasy to operate and the sound is much better than others i have tried,last forever overly expensive replaceeasy operate sound much better others tried,do not last forev but not over expens replaceeasi oper sound much better other tri
644,0,"I contacted the company and they told me that, although the unit was still under warranty, if I couldn't produce my receipt I was out of luck.",i contacted the company and they told me that although the unit was still under warranty if i couldnt produce my receipt i was out of luck,contacted company told although unit still warranty couldnt produce receipt luck,i contact the compani and they told me that although the unit was still under warranti if i couldnt produc my receipt i was out of luck,contact compani told although unit still warranti couldnt produc receipt luck,contact compani told although unit still warranti couldnt produc receipt luck,i contacted the company and they told me that although the unit wa still under warranty if i couldnt produce my receipt i wa out of luck,contacted company told although unit wa still warranty couldnt produce receipt wa luck,contact compani told although unit still warranti couldnt produc receipt luck
645,0,Linksys should have some way to exchange a bad phone for a refurb unit or something!,linksys should have some way to exchange a bad phone for a refurb unit or something,linksys way exchange bad phone refurb unit something,linksi should have some way to exchang a bad phone for a refurb unit or someth,linksi way exchang bad phone refurb unit someth,linksi way exchang bad phone refurb unit someth,linksys should have some way to exchange a bad phone for a refurb unit or something,linksys way exchange bad phone refurb unit something,linksi way exchang bad phone refurb unit someth
646,1,Phone is sturdy as all nokia bar phones are.,phone is sturdy as all nokia bar phones are,phone sturdy nokia bar phones,phone is sturdi as all nokia bar phone are,phone sturdi nokia bar phone,phone sturdi nokia bar phone,phone is sturdy a all nokia bar phone are,phone sturdy nokia bar phone,phone sturdi nokia bar phone
647,1,Great phone.,great phone,great phone,great phone,great phone,great phone,great phone,great phone,great phone
648,0,"When I placed my treo into the case, not only was it NOT snug, but there was A LOT of extra room on the sides.",when i placed my treo into the case not only was it not snug but there was a lot of extra room on the sides,placed treo case not not snug but lot extra room sides,when i place my treo into the case not onli was it not snug but there was a lot of extra room on the side,place treo case not not snug but lot extra room side,place treo case onli snug lot extra room side,when i placed my treo into the case not only wa it not snug but there wa a lot of extra room on the side,placed treo case wa snug wa lot extra room side,place treo case not not snug but lot extra room side
649,1,I'm pleased.,im pleased,im pleased,im pleas,im pleas,im pleas,im pleased,im pleased,im pleas
650,0,Battery is terrible.,battery is terrible,battery terrible,batteri is terribl,batteri terribl,batteri terribl,battery is terrible,battery terrible,batteri terribl
651,1,I found the product to be easy to set up and use.,i found the product to be easy to set up and use,found product easy set use,i found the product to be easi to set up and use,found product easi set use,found product easi set use,i found the product to be easy to set up and use,found product easy set use,found product easi set use
652,0,The earpiece on this is too large or too heavy...it keeps falling out of my ear.,the earpiece on this is too large or too heavyit keeps falling out of my ear,earpiece large heavyit keeps falling ear,the earpiec on this is too larg or too heavyit keep fall out of my ear,earpiec larg heavyit keep fall ear,earpiec larg heavyit keep fall ear,the earpiece on this is too large or too heavyit keep falling out of my ear,earpiece large heavyit keep falling ear,earpiec larg heavyit keep fall ear
653,0,Utter crap.. Sound quality is TERRIBLE.,utter crap sound quality is terrible,utter crap sound quality terrible,utter crap sound qualiti is terribl,utter crap sound qualiti terribl,utter crap sound qualiti terribl,utter crap sound quality is terrible,utter crap sound quality terrible,utter crap sound qualiti terribl
654,0,"The charger arrived within the promised timeframe, but it did not work.",the charger arrived within the promised timeframe but it did not work,charger arrived within promised timeframe but not work,the charger arriv within the promis timefram but it did not work,charger arriv within promis timefram but not work,charger arriv within promis timefram work,the charger arrived within the promised timeframe but it did not work,charger arrived within promised timeframe work,charger arriv within promis timefram but not work
655,1,"No ear loop needed, it's tiny and the sound is great.",no ear loop needed its tiny and the sound is great,ear loop needed tiny sound great,no ear loop need it tini and the sound is great,ear loop need tini sound great,ear loop need tini sound great,no ear loop needed it tiny and the sound is great,ear loop needed tiny sound great,ear loop need tini sound great
656,0,"Finally, after three or four times the spring of the latch broke and I could not use it any longer on the visor.",finally after three or four times the spring of the latch broke and i could not use it any longer on the visor,finally after three four times spring latch broke could not use longer visor,final after three or four time the spring of the latch broke and i could not use it ani longer on the visor,final after three four time spring latch broke could not use longer visor,final three four time spring latch broke could use ani longer visor,finally after three or four time the spring of the latch broke and i could not use it any longer on the visor,finally three four time spring latch broke could use longer visor,final after three four time spring latch broke could not use longer visor
657,1,"The handsfree part works fine, but then the car tries to download the address book, and the Treo reboots.Overall, I still rate this device high.",the handsfree part works fine but then the car tries to download the address book and the treo rebootsoverall i still rate this device high,handsfree part works fine but car tries download address book treo rebootsoverall still rate device high,the handsfre part work fine but then the car tri to download the address book and the treo rebootsoveral i still rate this devic high,handsfre part work fine but car tri download address book treo rebootsoveral still rate devic high,handsfre part work fine car tri download address book treo rebootsoveral still rate devic high,the handsfree part work fine but then the car try to download the address book and the treo rebootsoverall i still rate this device high,handsfree part work fine car try download address book treo rebootsoverall still rate device high,handsfre part work fine but car tri download address book treo rebootsoveral still rate devic high
658,0,Talk about USELESS customer service.,talk about useless customer service,talk useless customer service,talk about useless custom servic,talk useless custom servic,talk useless custom servic,talk about useless customer service,talk useless customer service,talk useless custom servic
659,0,"It felt too light and ""tinny."".",it felt too light and tinny,felt light tinny,it felt too light and tinni,felt light tinni,felt light tinni,it felt too light and tinny,felt light tinny,felt light tinni
660,0,This does not fit the Palm Tungsten E2 and it broke the first time I tried to plug it in.,this does not fit the palm tungsten e2 and it broke the first time i tried to plug it in,does not fit palm tungsten e2 broke first time tried plug,this doe not fit the palm tungsten e2 and it broke the first time i tri to plug it in,doe not fit palm tungsten e2 broke first time tri plug,doe fit palm tungsten e2 broke first time tri plug,this doe not fit the palm tungsten e2 and it broke the first time i tried to plug it in,doe fit palm tungsten e2 broke first time tried plug,doe not fit palm tungsten e2 broke first time tri plug
661,1,I'm happy about this purchase- good quality and low price.,im happy about this purchase  good quality and low price,im happy purchase good quality low price,im happi about this purchas good qualiti and low price,im happi purchas good qualiti low price,im happi purchas good qualiti low price,im happy about this purchase good quality and low price,im happy purchase good quality low price,im happi purchas good qualiti low price
662,1,I love the look and feel of Samsung flipphones.,i love the look and feel of samsung flipphones,love look feel samsung flipphones,i love the look and feel of samsung flipphon,love look feel samsung flipphon,love look feel samsung flipphon,i love the look and feel of samsung flipphones,love look feel samsung flipphones,love look feel samsung flipphon
663,1,Its well-designed and very sharp -- the blue is a very nice color.,its well designed and very sharp    the blue is a very nice color,well designed sharp blue nice color,it well design and veri sharp the blue is a veri nice color,well design sharp blue nice color,well design veri sharp blue veri nice color,it well designed and very sharp the blue is a very nice color,well designed sharp blue nice color,well design sharp blue nice color
664,1,Does everything it should and more.,does everything it should and more,does everything,doe everyth it should and more,doe everyth,doe everyth,doe everything it should and more,doe everything,doe everyth
665,0,I could not recommend these more.,i could not recommend these more,could not recommend,i could not recommend these more,could not recommend,could recommend,i could not recommend these more,could recommend,could not recommend
666,1,Nice Sound.,nice sound,nice sound,nice sound,nice sound,nice sound,nice sound,nice sound,nice sound
667,0,"Looks good in the picture, but this case was a huge disappointment!!",looks good in the picture but this case was a huge disappointment,looks good picture but case huge disappointment,look good in the pictur but this case was a huge disappoint,look good pictur but case huge disappoint,look good pictur case huge disappoint,look good in the picture but this case wa a huge disappointment,look good picture case wa huge disappointment,look good pictur but case huge disappoint
668,1,Much less than the jawbone I was going to replace it with.,much less than the jawbone i was going to replace it with,much less jawbone going replace,much less than the jawbon i was go to replac it with,much less jawbon go replac,much less jawbon go replac,much le than the jawbone i wa going to replace it with,much le jawbone wa going replace,much less jawbon go replac
669,1,Setup went very smoothly.,setup went very smoothly,setup went smoothly,setup went veri smooth,setup went smoothli,setup went veri smooth,setup went very smoothly,setup went smoothly,setup went smooth
670,0,its extremely slow and takes forever to do anything with it.,its extremely slow and takes forever to do anything with it,extremely slow takes forever do anything,it extrem slow and take forev to do anyth with it,extrem slow take forev do anyth,extrem slow take forev anyth,it extremely slow and take forever to do anything with it,extremely slow take forever anything,extrem slow take forev do anyth
671,0,"A must study for anyone interested in the ""worst sins"" of industrial design.",a must study for anyone interested in the worst sins of industrial design,must study anyone interested worst sins industrial design,a must studi for anyon interest in the worst sin of industri design,must studi anyon interest worst sin industri design,must studi anyon interest worst sin industri design,a must study for anyone interested in the worst sin of industrial design,must study anyone interested worst sin industrial design,must studi anyon interest worst sin industri design
672,0,The first thing that happened was that the tracking was off.,the first thing that happened was that the tracking was off,first thing happened tracking,the first thing that happen was that the track was off,first thing happen track,first thing happen track,the first thing that happened wa that the tracking wa off,first thing happened wa tracking wa,first thing happen track
673,1,"It is well made, easy to access the phone and has a handy, detachable belt clip.",it is well made easy to access the phone and has a handy detachable belt clip,well made easy access phone handy detachable belt clip,it is well made easi to access the phone and has a handi detach belt clip,well made easi access phone handi detach belt clip,well made easi access phone handi detach belt clip,it is well made easy to access the phone and ha a handy detachable belt clip,well made easy access phone ha handy detachable belt clip,well made easi access phone handi detach belt clip
674,0,Then I had to continue pairing it periodically since it somehow kept dropping.,then i had to continue pairing it periodically since it somehow kept dropping,continue pairing periodically since somehow kept dropping,then i had to continu pair it period sinc it somehow kept drop,continu pair period sinc somehow kept drop,continu pair period sinc somehow kept drop,then i had to continue pairing it periodically since it somehow kept dropping,continue pairing periodically since somehow kept dropping,continu pair period sinc somehow kept drop
675,0,Can't upload ringtones from a third party.,cant upload ringtones from a third party,cant upload ringtones third party,cant upload rington from a third parti,cant upload rington third parti,cant upload rington third parti,cant upload ringtones from a third party,cant upload ringtones third party,cant upload rington third parti
676,0,"Bluetooth does not work, phone locks up, screens just flash up and now it just makes calls randomly while in my pocket locked.",bluetooth does not work phone locks up screens just flash up and now it just makes calls randomly while in my pocket locked,bluetooth does not work phone locks screens flash makes calls randomly pocket locked,bluetooth doe not work phone lock up screen just flash up and now it just make call random while in my pocket lock,bluetooth doe not work phone lock screen flash make call randomli pocket lock,bluetooth doe work phone lock screen flash make call random pocket lock,bluetooth doe not work phone lock up screen just flash up and now it just make call randomly while in my pocket locked,bluetooth doe work phone lock screen flash make call randomly pocket locked,bluetooth doe not work phone lock screen flash make call random pocket lock
677,0,Truly awful.,truly awful,truly awful,truli aw,truli aw,truli aw,truly awful,truly awful,truli aw
678,1,"It works fine on my Motorola 325 cellphone, and a lot better than the worn-out battery did.",it works fine on my motorola 325 cellphone and a lot better than the worn out battery did,works fine motorola 325 cellphone lot better worn battery,it work fine on my motorola 325 cellphon and a lot better than the worn out batteri did,work fine motorola 325 cellphon lot better worn batteri,work fine motorola 325 cellphon lot better worn batteri,it work fine on my motorola 325 cellphone and a lot better than the worn out battery did,work fine motorola 325 cellphone lot better worn battery,work fine motorola 325 cellphon lot better worn batteri
679,1,The volume for the ringer is REAL good (you have choices how loud).,the volume for the ringer is real good you have choices how loud,volume ringer real good choices loud,the volum for the ringer is real good you have choic how loud,volum ringer real good choic loud,volum ringer real good choic loud,the volume for the ringer is real good you have choice how loud,volume ringer real good choice loud,volum ringer real good choic loud
680,0,And none of the tones is acceptable.,and none of the tones is acceptable,none tones acceptable,and none of the tone is accept,none tone accept,none tone accept,and none of the tone is acceptable,none tone acceptable,none tone accept
681,0,camera color balance is AWFUL.,camera color balance is awful,camera color balance awful,camera color balanc is aw,camera color balanc aw,camera color balanc aw,camera color balance is awful,camera color balance awful,camera color balanc aw
682,0,"This product is clearly not ready for prime time, I don't care how cool it looks, if you can't tell a call is coming in it's worthless.",this product is clearly not ready for prime time i dont care how cool it looks if you cant tell a call is coming in its worthless,product clearly not ready prime time dont care cool looks cant tell call coming worthless,this product is clear not readi for prime time i dont care how cool it look if you cant tell a call is come in it worthless,product clearli not readi prime time dont care cool look cant tell call come worthless,product clear readi prime time dont care cool look cant tell call come worthless,this product is clearly not ready for prime time i dont care how cool it look if you cant tell a call is coming in it worthless,product clearly ready prime time dont care cool look cant tell call coming worthless,product clear not readi prime time dont care cool look cant tell call come worthless
683,1,I love the ringtones because they are so upbeat!,i love the ringtones because they are so upbeat,love ringtones upbeat,i love the rington becaus they are so upbeat,love rington upbeat,love rington becaus upbeat,i love the ringtones because they are so upbeat,love ringtones upbeat,love rington upbeat
684,0,Chinese Forgeries Abound!.,chinese forgeries abound,chinese forgeries abound,chines forgeri abound,chines forgeri abound,chines forgeri abound,chinese forgery abound,chinese forgery abound,chines forgeri abound
685,1,Easy to pair with my Samsung Cell.,easy to pair with my samsung cell,easy pair samsung cell,easi to pair with my samsung cell,easi pair samsung cell,easi pair samsung cell,easy to pair with my samsung cell,easy pair samsung cell,easi pair samsung cell
686,0,The instructions didn't explain that a microphone jack could be used.,the instructions didnt explain that a microphone jack could be used,instructions didnt explain microphone jack could used,the instruct didnt explain that a microphon jack could be use,instruct didnt explain microphon jack could use,instruct didnt explain microphon jack could use,the instruction didnt explain that a microphone jack could be used,instruction didnt explain microphone jack could used,instruct didnt explain microphon jack could use
687,0,i would advise to not purchase this item it never worked very well.,i would advise to not purchase this item it never worked very well,would advise not purchase item never worked well,i would advis to not purchas this item it never work veri well,would advis not purchas item never work well,would advis purchas item never work veri well,i would advise to not purchase this item it never worked very well,would advise purchase item never worked well,would advis not purchas item never work well
688,0,Too bad you have to pay up to $$$ a month for the service!,too bad you have to pay up to $$$ a month for the service,bad pay $$$ month service,too bad you have to pay up to $$$ a month for the servic,bad pay $$$ month servic,bad pay $$$ month servic,too bad you have to pay up to $$$ a month for the service,bad pay $$$ month service,bad pay $$$ month servic
689,1,Works well.,works well,works well,work well,work well,work well,work well,work well,work well
690,0,The nokia CA-42 USB cable did not work with my phone.,the nokia ca 42 usb cable did not work with my phone,nokia ca 42 usb cable not work phone,the nokia ca 42 usb cabl did not work with my phone,nokia ca 42 usb cabl not work phone,nokia ca 42 usb cabl work phone,the nokia ca 42 usb cable did not work with my phone,nokia ca 42 usb cable work phone,nokia ca 42 usb cabl not work phone
691,1,Clear crisp sound.,clear crisp sound,clear crisp sound,clear crisp sound,clear crisp sound,clear crisp sound,clear crisp sound,clear crisp sound,clear crisp sound
692,1,"I have to use the smallest earpieces provided, but it stays on pretty well.",i have to use the smallest earpieces provided but it stays on pretty well,use smallest earpieces provided but stays pretty well,i have to use the smallest earpiec provid but it stay on pretti well,use smallest earpiec provid but stay pretti well,use smallest earpiec provid stay pretti well,i have to use the smallest earpiece provided but it stay on pretty well,use smallest earpiece provided stay pretty well,use smallest earpiec provid but stay pretti well
693,0,"The biggest complaint I have is, the battery drains superfast.",the biggest complaint i have is the battery drains superfast,biggest complaint battery drains superfast,the biggest complaint i have is the batteri drain superfast,biggest complaint batteri drain superfast,biggest complaint batteri drain superfast,the biggest complaint i have is the battery drain superfast,biggest complaint battery drain superfast,biggest complaint batteri drain superfast
694,0,The design might be ergonomic in theory but I could not stand having these in my ear.,the design might be ergonomic in theory but i could not stand having these in my ear,design might ergonomic theory but could not stand ear,the design might be ergonom in theori but i could not stand have these in my ear,design might ergonom theori but could not stand ear,design might ergonom theori could stand ear,the design might be ergonomic in theory but i could not stand having these in my ear,design might ergonomic theory could stand ear,design might ergonom theori but could not stand ear
695,0,Do NOT buy if you want to use the holster.,do not buy if you want to use the holster,do not buy want use holster,do not buy if you want to use the holster,do not buy want use holster,buy want use holster,do not buy if you want to use the holster,buy want use holster,do not buy want use holster
696,1,The phone can also take great pictures and even video clips.,the phone can also take great pictures and even video clips,phone also take great pictures even video clips,the phone can also take great pictur and even video clip,phone also take great pictur even video clip,phone also take great pictur even video clip,the phone can also take great picture and even video clip,phone also take great picture even video clip,phone also take great pictur even video clip
697,0,It doesn't make you look cool.,it doesnt make you look cool,doesnt make look cool,it doesnt make you look cool,doesnt make look cool,doesnt make look cool,it doesnt make you look cool,doesnt make look cool,doesnt make look cool
698,1,"Because both ears are occupied, background is not distracting at all.",because both ears are occupied background is not distracting at all,both ears occupied background not distracting,becaus both ear are occupi background is not distract at all,both ear occupi background not distract,becaus ear occupi background distract,because both ear are occupied background is not distracting at all,ear occupied background distracting,both ear occupi background not distract
699,1,"Comfortable fit - you need your headset to be comfortable for at least an hour at a time, if not for an entire day.",comfortable fit   you need your headset to be comfortable for at least an hour at a time if not for an entire day,comfortable fit need headset comfortable least hour time not entire day,comfort fit you need your headset to be comfort for at least an hour at a time if not for an entir day,comfort fit need headset comfort least hour time not entir day,comfort fit need headset comfort least hour time entir day,comfortable fit you need your headset to be comfortable for at least an hour at a time if not for an entire day,comfortable fit need headset comfortable least hour time entire day,comfort fit need headset comfort least hour time not entir day
700,0,"Also, the phone doesn't seem to accept anything except CBR mp3s, preferably ripped by Windows Media Player.",also the phone doesnt seem to accept anything except cbr mp3s preferably ripped by windows media player,also phone doesnt seem accept anything except cbr mp3s preferably ripped windows media player,also the phone doesnt seem to accept anyth except cbr mp3s prefer rip by window media player,also phone doesnt seem accept anyth except cbr mp3 prefer rip window media player,also phone doesnt seem accept anyth except cbr mp3s prefer rip window media player,also the phone doesnt seem to accept anything except cbr mp3s preferably ripped by window medium player,also phone doesnt seem accept anything except cbr mp3s preferably ripped window medium player,also phone doesnt seem accept anyth except cbr mp3s prefer rip window media player
701,1,You can't beat the price on these.,you cant beat the price on these,cant beat price,you cant beat the price on these,cant beat price,cant beat price,you cant beat the price on these,cant beat price,cant beat price
702,1,"* Comes with a strong light that you can use to light up your camera shots, and even flash SOS signals (seriously!",* comes with a strong light that you can use to light up your camera shots and even flash sos signals seriously,* comes strong light use light camera shots even flash sos signals seriously,* come with a strong light that you can use to light up your camera shot and even flash sos signal serious,* come strong light use light camera shot even flash so signal serious,* come strong light use light camera shot even flash sos signal serious,* come with a strong light that you can use to light up your camera shot and even flash so signal seriously,* come strong light use light camera shot even flash signal seriously,* come strong light use light camera shot even flash sos signal serious
703,1,lightweight and works well.,lightweight and works well,lightweight works well,lightweight and work well,lightweight work well,lightweight work well,lightweight and work well,lightweight work well,lightweight work well
704,0,So just beware.,so just beware,beware,so just bewar,bewar,bewar,so just beware,beware,bewar
705,1,I love this cable - it allows me to connect any mini-USB device to my PC.,i love this cable   it allows me to connect any mini usb device to my pc,love cable allows connect mini usb device pc,i love this cabl it allow me to connect ani mini usb devic to my pc,love cabl allow connect mini usb devic pc,love cabl allow connect ani mini usb devic pc,i love this cable it allows me to connect any mini usb device to my pc,love cable allows connect mini usb device pc,love cabl allow connect mini usb devic pc
706,0,So anyone near you will hear part of your conversation.,so anyone near you will hear part of your conversation,anyone near hear part conversation,so anyon near you will hear part of your convers,anyon near hear part convers,anyon near hear part convers,so anyone near you will hear part of your conversation,anyone near hear part conversation,anyon near hear part convers
707,1,This is cool because most cases are just open there allowing the screen to get all scratched up.,this is cool because most cases are just open there allowing the screen to get all scratched up,cool cases open allowing screen get scratched,this is cool becaus most case are just open there allow the screen to get all scratch up,cool case open allow screen get scratch,cool becaus case open allow screen get scratch,this is cool because most case are just open there allowing the screen to get all scratched up,cool case open allowing screen get scratched,cool case open allow screen get scratch
708,0,I bought this phone as a replacement for my StarTac and have regretted it since.,i bought this phone as a replacement for my startac and have regretted it since,bought phone replacement startac regretted since,i bought this phone as a replac for my startac and have regret it sinc,bought phone replac startac regret sinc,bought phone replac startac regret sinc,i bought this phone a a replacement for my startac and have regretted it since,bought phone replacement startac regretted since,bought phone replac startac regret sinc
709,1,Appears to actually outperform the original battery from China that came with my V325i.,appears to actually outperform the original battery from china that came with my v325i,appears actually outperform original battery china came v325i,appear to actual outperform the origin batteri from china that came with my v325i,appear actual outperform origin batteri china came v325i,appear actual outperform origin batteri china came v325i,appears to actually outperform the original battery from china that came with my v325i,appears actually outperform original battery china came v325i,appear actual outperform origin batteri china came v325i
710,0,Can't store anything but phone numbers to SIM.,cant store anything but phone numbers to sim,cant store anything but phone numbers sim,cant store anyth but phone number to sim,cant store anyth but phone number sim,cant store anyth phone number sim,cant store anything but phone number to sim,cant store anything phone number sim,cant store anyth but phone number sim
711,0,"It lasts less than 3o minutes, if I actually try to use the phone.My wife has the same phone with the same problem.",it lasts less than 3o minutes if i actually try to use the phonemy wife has the same phone with the same problem,lasts less 3o minutes actually try use phonemy wife phone problem,it last less than 3o minut if i actual tri to use the phonemi wife has the same phone with the same problem,last less 3o minut actual tri use phonemi wife phone problem,last less 3o minut actual tri use phonemi wife phone problem,it last le than 3o minute if i actually try to use the phonemy wife ha the same phone with the same problem,last le 3o minute actually try use phonemy wife ha phone problem,last less 3o minut actual tri use phonemi wife phone problem
712,0,Poor quality.,poor quality,poor quality,poor qualiti,poor qualiti,poor qualiti,poor quality,poor quality,poor qualiti
713,1,"jabra ear gels ""R"" the best!.",jabra ear gels r the best,jabra ear gels r best,jabra ear gel r the best,jabra ear gel r best,jabra ear gel r best,jabra ear gel r the best,jabra ear gel r best,jabra ear gel r best
714,0,Not worth it.,not worth it,not worth,not worth it,not worth,worth,not worth it,worth,not worth
715,0,The phone crashed completely and now I have to get it replaced.,the phone crashed completely and now i have to get it replaced,phone crashed completely get replaced,the phone crash complet and now i have to get it replac,phone crash complet get replac,phone crash complet get replac,the phone crashed completely and now i have to get it replaced,phone crashed completely get replaced,phone crash complet get replac
716,1,"It quit working after I'd used it for about 18 months, so I just purchased another one because this is the best headset I've ever owned.",it quit working after id used it for about 18 months so i just purchased another one because this is the best headset ive ever owned,quit working after id used 18 months purchased another one best headset ive ever owned,it quit work after id use it for about 18 month so i just purchas anoth one becaus this is the best headset ive ever own,quit work after id use 18 month purchas anoth one best headset ive ever own,quit work id use 18 month purchas anoth one becaus best headset ive ever,it quit working after id used it for about 18 month so i just purchased another one because this is the best headset ive ever owned,quit working id used 18 month purchased another one best headset ive ever owned,quit work after id use 18 month purchas anoth one best headset ive ever own
717,0,"Unfortunately it will not recharge my iPhone 4s, despite connecting it from multiple power sources (iMac, external battery, wall outlet, etc).",unfortunately it will not recharge my iphone 4s despite connecting it from multiple power sources imac external battery wall outlet etc,unfortunately not recharge iphone 4s despite connecting multiple power sources imac external battery wall outlet etc,unfortun it will not recharg my iphon 4s despit connect it from multipl power sourc imac extern batteri wall outlet etc,unfortun not recharg iphon 4s despit connect multipl power sourc imac extern batteri wall outlet etc,unfortun recharg iphon 4s despit connect multipl power sourc imac extern batteri wall outlet etc,unfortunately it will not recharge my iphone 4 despite connecting it from multiple power source imac external battery wall outlet etc,unfortunately recharge iphone 4 despite connecting multiple power source imac external battery wall outlet etc,unfortun not recharg iphon 4s despit connect multipl power sourc imac extern batteri wall outlet etc
718,1,It was a great phone.,it was a great phone,great phone,it was a great phone,great phone,great phone,it wa a great phone,wa great phone,great phone
719,0,if you simply want a small flip phone -- look elsewhere as the extra bells & whistles are mediocre.,if you simply want a small flip phone    look elsewhere as the extra bells & whistles are mediocre,simply want small flip phone look elsewhere extra bells & whistles mediocre,if you simpli want a small flip phone look elsewher as the extra bell & whistl are mediocr,simpli want small flip phone look elsewher extra bell & whistl mediocr,simpli want small flip phone look elsewher extra bell & whistl mediocr,if you simply want a small flip phone look elsewhere a the extra bell & whistle are mediocre,simply want small flip phone look elsewhere extra bell & whistle mediocre,simpli want small flip phone look elsewher extra bell & whistl mediocr
720,1,"Good value, works fine - power via USB, car, or wall outlet.",good value works fine   power via usb car or wall outlet,good value works fine power via usb car wall outlet,good valu work fine power via usb car or wall outlet,good valu work fine power via usb car wall outlet,good valu work fine power via usb car wall outlet,good value work fine power via usb car or wall outlet,good value work fine power via usb car wall outlet,good valu work fine power via usb car wall outlet
721,1,My phone doesn't slide around my car now and the grip prevents my phone from slipping out of my hand.,my phone doesnt slide around my car now and the grip prevents my phone from slipping out of my hand,phone doesnt slide around car grip prevents phone slipping hand,my phone doesnt slide around my car now and the grip prevent my phone from slip out of my hand,phone doesnt slide around car grip prevent phone slip hand,phone doesnt slide around car grip prevent phone slip hand,my phone doesnt slide around my car now and the grip prevents my phone from slipping out of my hand,phone doesnt slide around car grip prevents phone slipping hand,phone doesnt slide around car grip prevent phone slip hand
722,1,This is simply the BEST bluetooth headset for sound quality!,this is simply the best bluetooth headset for sound quality,simply best bluetooth headset sound quality,this is simpli the best bluetooth headset for sound qualiti,simpli best bluetooth headset sound qualiti,simpli best bluetooth headset sound qualiti,this is simply the best bluetooth headset for sound quality,simply best bluetooth headset sound quality,simpli best bluetooth headset sound qualiti
723,0,Think it over when you plan to own this one!This sure is the last MOTO phone for me!,think it over when you plan to own this onethis sure is the last moto phone for me,think plan onethis sure last moto phone,think it over when you plan to own this onethi sure is the last moto phone for me,think plan onethi sure last moto phone,think plan onethi sure last moto phone,think it over when you plan to own this onethis sure is the last moto phone for me,think plan onethis sure last moto phone,think plan onethi sure last moto phone
724,1,"In the span of an hour, I had two people exclaim ""Whoa - is that the new phone on TV?!?",in the span of an hour i had two people exclaim whoa   is that the new phone on tv,span hour two people exclaim whoa new phone tv,in the span of an hour i had two peopl exclaim whoa is that the new phone on tv,span hour two peopl exclaim whoa new phone tv,span hour two peopl exclaim whoa new phone tv,in the span of an hour i had two people exclaim whoa is that the new phone on tv,span hour two people exclaim whoa new phone tv,span hour two peopl exclaim whoa new phone tv
725,1,I have always used corded headsets and the freedom from the wireless is very helpful.,i have always used corded headsets and the freedom from the wireless is very helpful,always used corded headsets freedom wireless helpful,i have alway use cord headset and the freedom from the wireless is veri help,alway use cord headset freedom wireless help,alway use cord headset freedom wireless veri help,i have always used corded headset and the freedom from the wireless is very helpful,always used corded headset freedom wireless helpful,alway use cord headset freedom wireless help
726,1,"This case has passed the one year mark and while it shows signs of wear, it is 100% functional.",this case has passed the one year mark and while it shows signs of wear it is 100% functional,case passed one year mark shows signs wear 100% functional,this case has pass the one year mark and while it show sign of wear it is 100% function,case pass one year mark show sign wear 100% function,case pass one year mark show sign wear 100% function,this case ha passed the one year mark and while it show sign of wear it is 100% functional,case ha passed one year mark show sign wear 100% functional,case pass one year mark show sign wear 100% function
